"geo","TIME_PERIOD","age_leaving_home","edu_ED0-2","edu_ED3_4","edu_ED5-8","neet_rate","median_income","at_risk_pov_rate","housing_cost_overburden","gdp_per_capita","unemp_EU27_2020_FOR","unemp_NAT","unemp_NEU27_2020_FOR"
"UK",2008,23.8,24.6,52.8,22.6,13.1,18543,18.7,46.7,28429.9,5.5,11.3,13.5
"UK",2009,23.9,23.7,52.8,23.5,14.4,16819,17.3,53.5,26455.4,6.7,14.8,16.6
"UK",2010,23.9,22.2,53.1,24.7,14.6,15869,17.1,54.9,27580.1,7.7,15.1,17.4
"UK",2011,23.5,22.1,52.3,25.6,15.4,15776,16.2,52.8,27687.2,9.3,16.2,17.6
"UK",2012,23.9,20.3,53.4,26.3,15.3,16447,16,26,28280.7,11.7,15.9,17
"UK",2013,24.1,20.1,53.2,26.6,14.6,16767,15.9,27,28832.6,10.4,15.2,18.4
"UK",2014,24.3,19.1,53.3,27.6,13.4,16896,16.8,41.7,29596.5,6.9,12.5,16.7
"UK",2015,24.4,17.9,53.1,28.9,12.7,17782,16.6,40,30610.3,7.6,10.6,15.1
"UK",2016,24.3,18.4,52.2,29.3,12.3,17296,15.9,42.4,30651.7,6.2,9.4,12.3
"UK",2017,24.4,18.3,52.2,29.5,11.4,18040,17,40.8,31430,6.1,8.3,12.1
"UK",2018,24.7,17.9,51.7,30.4,11.7,18423,18.6,50.3,31789.2,7.8,7.8,11.5
